agegroup,gender,region,cancer,value,year
00-,F,Belgium,Lip,1,2015
00-,F,Belgium,Base of tongue,-,2015
00-,F,Belgium,Tongue,-,2015
00-,F,Belgium,Gum,-,2015
00-,F,Belgium,Floor of mouth,-,2015
00-,F,Belgium,Palate,-,2015
00-,F,Belgium,"Mouth, NOS",-,2015
00-,F,Belgium,Parotid gland,-,2015
00-,F,Belgium,"Salivary glands, NOS",-,2015
00-,F,Belgium,Tonsil,-,2015
00-,F,Belgium,Oropharynx,-,2015
00-,F,Belgium,Nasopharynx,1,2015
00-,F,Belgium,Pyriform sinus,-,2015
00-,F,Belgium,Hypopharynx,-,2015
00-,F,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
00-,F,Belgium,Oesophagus,-,2015
00-,F,Belgium,Stomach,-,2015
00-,F,Belgium,Small intestine,-,2015
00-,F,Belgium,Colon,-,2015
00-,F,Belgium,Rectosigmoid junction,-,2015
00-,F,Belgium,Rectum,-,2015
00-,F,Belgium,Anus and anal canal,-,2015
00-,F,Belgium,Liver and intrahepatic bile ducts,1,2015
00-,F,Belgium,Gallbladder,-,2015
00-,F,Belgium,"Biliary tract, NOS",-,2015
00-,F,Belgium,Pancreas,-,2015
00-,F,Belgium,Other ill-defined digestive organs,-,2015
00-,F,Belgium,Nasal cavity and middle ear,-,2015
00-,F,Belgium,Accessory sinuses,-,2015
00-,F,Belgium,Larynx,-,2015
00-,F,Belgium,Trachea,-,2015
00-,F,Belgium,Bronchus and lung,-,2015
00-,F,Belgium,Thymus,-,2015
00-,F,Belgium,"Heart, mediastinum and pleura",-,2015
00-,F,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
00-,F,Belgium,Bone and articular cartilage of limbs,-,2015
00-,F,Belgium,"Bone and articular cartilage, NOS",1,2015
00-,F,Belgium,Malignant melanoma of skin,-,2015
00-,F,Belgium,Malignant neoplasms of skin,-,2015
00-,F,Belgium,Mesothelioma,-,2015
00-,F,Belgium,Kaposi's sarcoma,-,2015
00-,F,Belgium,Soft tissues,6,2015
00-,F,Belgium,Retroperitoneum and peritoneum,3,2015
00-,F,Belgium,Breast,-,2015
00-,F,Belgium,Vulva,-,2015
00-,F,Belgium,Vagina,1,2015
00-,F,Belgium,Cervix uteri,-,2015
00-,F,Belgium,Corpus uteri,-,2015
00-,F,Belgium,Uterus,-,2015
00-,F,Belgium,Ovary,-,2015
00-,F,Belgium,"Female genital organs, NOS",-,2015
00-,F,Belgium,Placenta,-,2015
00-,F,Belgium,Kidney,8,2015
00-,F,Belgium,Renal pelvis,-,2015
00-,F,Belgium,Ureter,-,2015
00-,F,Belgium,Bladder,-,2015
00-,F,Belgium,"Urinary organs, NOS",-,2015
00-,F,Belgium,Eye and adnexa,2,2015
00-,F,Belgium,Meninges,-,2015
00-,F,Belgium,Brain,7,2015
00-,F,Belgium,"Spinal cord, cranial nerves and CNS, NOS",1,2015
00-,F,Belgium,Thyroid gland,-,2015
00-,F,Belgium,Adrenal gland,4,2015
00-,F,Belgium,"Endocrine glands, NOS",-,2015
00-,F,Belgium,Hodgkin's disease,-,2015
00-,F,Belgium,Non-Hodgkin-lymphoma,1,2015
00-,F,Belgium,Malignant immunoproliferative diseases,-,2015
00-,F,Belgium,Multiple myeloma,-,2015
00-,F,Belgium,Lymphoid leukaemia,18,2015
00-,F,Belgium,Myeloid leukaemia,5,2015
00-,F,Belgium,Monocytic leukaemia,1,2015
00-,F,Belgium,Leukaemia other,1,2015
00-,F,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",4,2015
00-,F,Belgium,Other and ill-defined sites,-,2015
00-,F,Belgium,Unknown primary site,-,2015
00-,F,Belgium,Myeloproliferative Disorders,-,2015
00-,F,Belgium,Myelodysplastic syndromes,1,2015
05-,F,Belgium,Lip,-,2015
05-,F,Belgium,Base of tongue,-,2015
05-,F,Belgium,Tongue,-,2015
05-,F,Belgium,Gum,-,2015
05-,F,Belgium,Floor of mouth,-,2015
05-,F,Belgium,Palate,-,2015
05-,F,Belgium,"Mouth, NOS",-,2015
05-,F,Belgium,Parotid gland,-,2015
05-,F,Belgium,"Salivary glands, NOS",-,2015
05-,F,Belgium,Tonsil,-,2015
05-,F,Belgium,Oropharynx,-,2015
05-,F,Belgium,Nasopharynx,-,2015
05-,F,Belgium,Pyriform sinus,-,2015
05-,F,Belgium,Hypopharynx,-,2015
05-,F,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
05-,F,Belgium,Oesophagus,-,2015
05-,F,Belgium,Stomach,-,2015
05-,F,Belgium,Small intestine,-,2015
05-,F,Belgium,Colon,-,2015
05-,F,Belgium,Rectosigmoid junction,-,2015
05-,F,Belgium,Rectum,-,2015
05-,F,Belgium,Anus and anal canal,-,2015
05-,F,Belgium,Liver and intrahepatic bile ducts,-,2015
05-,F,Belgium,Gallbladder,-,2015
05-,F,Belgium,"Biliary tract, NOS",-,2015
05-,F,Belgium,Pancreas,-,2015
05-,F,Belgium,Other ill-defined digestive organs,-,2015
05-,F,Belgium,Nasal cavity and middle ear,-,2015
05-,F,Belgium,Accessory sinuses,-,2015
05-,F,Belgium,Larynx,-,2015
05-,F,Belgium,Trachea,-,2015
05-,F,Belgium,Bronchus and lung,-,2015
05-,F,Belgium,Thymus,-,2015
05-,F,Belgium,"Heart, mediastinum and pleura",1,2015
05-,F,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
05-,F,Belgium,Bone and articular cartilage of limbs,6,2015
05-,F,Belgium,"Bone and articular cartilage, NOS",-,2015
