gender,agegroup,crude,province,year
M,15-24,8.1,antwerp,2013
M,25-34,12.5,antwerp,2013
M,35-44,7.9,antwerp,2013
M,45-54,7.7,antwerp,2013
M,55-64,14.8,antwerp,2013
M,65-74,6.5,antwerp,2013
M,75+,11.5,antwerp,2013
M,T,9.8,antwerp,2013
T,T,11.7,antwerp,2013
F,15-24,30.5,antwerp,2013
F,25-34,18.4,antwerp,2013
F,35-44,10.6,antwerp,2013
F,45-54,11.5,antwerp,2013
F,55-64,14.5,antwerp,2013
F,65-74,7.2,antwerp,2013
F,75+,2.9,antwerp,2013
F,T,13.6,antwerp,2013
M,15-24,0,vlaams brabant,2013
M,25-34,0,vlaams brabant,2013
M,35-44,5.8,vlaams brabant,2013
M,45-54,4.4,vlaams brabant,2013
M,55-64,10.2,vlaams brabant,2013
M,65-74,12.3,vlaams brabant,2013
M,75+,22.6,vlaams brabant,2013
M,T,6.9,vlaams brabant,2013
F,15-24,43,vlaams brabant,2013
F,25-34,6,vlaams brabant,2013
F,35-44,19.9,vlaams brabant,2013
F,45-54,15,vlaams brabant,2013
F,55-64,12.4,vlaams brabant,2013
F,65-74,10.3,vlaams brabant,2013
F,75+,12,vlaams brabant,2013
F,T,15.6,vlaams brabant,2013
T,T,11.6,vlaams brabant,2013
M,15-24,4.9,west-vlaanderen,2013
M,25-34,2,west-vlaanderen,2013
M,35-44,9.6,west-vlaanderen,2013
M,45-54,11.4,west-vlaanderen,2013
M,55-64,15.5,west-vlaanderen,2013
M,65-74,0,west-vlaanderen,2013
M,75+,6.5,west-vlaanderen,2013
M,T,7.8,west-vlaanderen,2013
F,15-24,3.1,west-vlaanderen,2013
F,25-34,16.2,west-vlaanderen,2013
F,35-44,15.5,west-vlaanderen,2013
F,45-54,7.3,west-vlaanderen,2013
F,55-64,6.6,west-vlaanderen,2013
F,65-74,9.6,west-vlaanderen,2013
F,75+,14.3,west-vlaanderen,2013
F,T,10.3,west-vlaanderen,2013
T,T,9,west-vlaanderen,2013
M,15-25,13.5,oost-vlaanderen,2013
M,25-35,13.1,oost-vlaanderen,2013
M,35-45,21.7,oost-vlaanderen,2013
M,45-55,12.2,oost-vlaanderen,2013
M,55-65,13.5,oost-vlaanderen,2013
M,65-75,22.9,oost-vlaanderen,2013
M,75+,31.9,oost-vlaanderen,2013
M,T,17.3,oost-vlaanderen,2013
T,T,33.4,oost-vlaanderen,2013
F,15-25,7.8,oost-vlaanderen,2013
F,25-35,16.2,oost-vlaanderen,2013
F,35-45,24.5,oost-vlaanderen,2013
F,45-55,28.6,oost-vlaanderen,2013
F,55-65,31.9,oost-vlaanderen,2013
F,65-75,30.6,oost-vlaanderen,2013
F,75+,23.6,oost-vlaanderen,2013
F,T,20.6,oost-vlaanderen,2013
M,15-25,10.4,limburg,2013
M,25-35,0,limburg,2013
M,35-45,0,limburg,2013
M,45-55,6.4,limburg,2013
M,55-65,16.3,limburg,2013
M,65-75,19.1,limburg,2013
M,75+,8.8,limburg,2013
M,T,8.6,limburg,2013
F,T,11.4,limburg,2013
F,15-25,8.1,limburg,2013
F,25-35,4.7,limburg,2013
F,35-45,28.1,limburg,2013
F,45-55,20.5,limburg,2013
F,55-65,6.7,limburg,2013
F,65-75,29.3,limburg,2013
F,75+,16.6,limburg,2013
T,T,12.8,limburg,2013
M,15-25,8.3,brussels,2013
M,25-35,15.2,brussels,2013
M,35-45,17,brussels,2013
M,45-55,17.5,brussels,2013
M,55-65,11.1,brussels,2013
M,65-75,6.8,brussels,2013
M,75+,11.4,brussels,2013
M,T,13.7,brussels,2013
F,15-25,10.2,brussels,2013
F,25-35,19.9,brussels,2013
F,35-45,26.3,brussels,2013
F,45-55,25.9,brussels,2013
F,55-65,23.8,brussels,2013
F,65-75,21.1,brussels,2013
F,75+,31.9,brussels,2013
F,T,22.4,brussels,2013
T,T,18.2,brussels,2013
M,15-25,0,Brabant Wallon,2013
M,25-35,8.7,Brabant Wallon,2013
M,35-45,7.7,Brabant Wallon,2013
M,45-55,14.2,Brabant Wallon,2013
M,55-65,0,Brabant Wallon,2013
M,65-75,3.1,Brabant Wallon,2013
M,75+,50,Brabant Wallon,2013
M,T,8.4,Brabant Wallon,2013
T,15-25,6.7,Brabant Wallon,2013
F,25-35,7.7,Brabant Wallon,2013
F,35-45,0.8,Brabant Wallon,2013
F,45-55,4.4,Brabant Wallon,2013
F,55-65,21.7,Brabant Wallon,2013
F,65-75,0,Brabant Wallon,2013
F,75+,18.8,Brabant Wallon,2013
F,T,7.5,Brabant Wallon,2013
F,T,7.9,Brabant Wallon,2013
M,15-26,2.4,hainout,2013
M,25-36,9.4,hainout,2013
M,35-46,8.3,hainout,2013
M,45-56,20.4,hainout,2013
M,55-66,22.2,hainout,2013
