name, year, amount, age, gender
Bruxelles,2017,8569,1,F
Bruxelles,2017,9126,1,M
Bruxelles,2017,17695,1,T
Antwerpen,2017,9811,1,F
Antwerpen,2017,10379,1,M
Antwerpen,2017,20190,1,T
Limburg,2017,4107,1,F
Limburg,2017,4236,1,M
Limburg,2017,8343,1,T
Oost_Vlaanderen,2017,7576,1,F
Oost_Vlaanderen,2017,8001,1,M
Oost_Vlaanderen,2017,15577,1,T
Vlaams_Brabant,2017,5775,1,F
Vlaams_Brabant,2017,5949,1,M
Vlaams_Brabant,2017,11724,1,T
West_Vlaanderen,2017,5378,1,F
West_Vlaanderen,2017,5704,1,M
West_Vlaanderen,2017,11082,1,T
Brabant_Wallon,2017,2022,1,F
Brabant_Wallon,2017,2064,1,M
Brabant_Wallon,2017,4086,1,T
Hainaut,2017,6963,1,F
Hainaut,2017,7351,1,M
Hainaut,2017,14314,1,T
Liege,2017,5903,1,F
Liege,2017,6024,1,M
Liege,2017,11927,1,T
Luxembourg,2017,1545,1,F
Luxembourg,2017,1641,1,M
Luxembourg,2017,3186,1,T
Namur,2017,2564,1,F
Namur,2017,2675,1,M
Namur,2017,5239,1,T
Bruxelles,2017,8656,2,F
Bruxelles,2017,9090,2,M
Bruxelles,2017,17746,2,T
Antwerpen,2017,10336,2,F
Antwerpen,2017,10775,2,M
Antwerpen,2017,21111,2,T
Limburg,2017,4232,2,F
Limburg,2017,4521,2,M
Limburg,2017,8753,2,T
Oost_Vlaanderen,2017,7721,2,F
Oost_Vlaanderen,2017,8083,2,M
Oost_Vlaanderen,2017,15804,2,T
Vlaams_Brabant,2017,6014,2,F
Vlaams_Brabant,2017,6348,2,M
Vlaams_Brabant,2017,12362,2,T
West_Vlaanderen,2017,5567,2,F
West_Vlaanderen,2017,5818,2,M
West_Vlaanderen,2017,11385,2,T
Brabant_Wallon,2017,2023,2,F
Brabant_Wallon,2017,2145,2,M
Brabant_Wallon,2017,4168,2,T
Hainaut,2017,7175,2,F
Hainaut,2017,7652,2,M
Hainaut,2017,14827,2,T
Liege,2017,6017,2,F
Liege,2017,6335,2,M
Liege,2017,12352,2,T
Luxembourg,2017,1586,2,F
Luxembourg,2017,1692,2,M
Luxembourg,2017,3278,2,T
Namur,2017,2571,2,F
Namur,2017,2763,2,M
Namur,2017,5334,2,T
Bruxelles,2017,8339,3,F
Bruxelles,2017,8794,3,M
Bruxelles,2017,17133,3,T
Antwerpen,2017,10378,3,F
Antwerpen,2017,10673,3,M
Antwerpen,2017,21051,3,T
Limburg,2017,4320,3,F
Limburg,2017,4487,3,M
Limburg,2017,8807,3,T
Oost_Vlaanderen,2017,7731,3,F
Oost_Vlaanderen,2017,8237,3,M
Oost_Vlaanderen,2017,15968,3,T
Vlaams_Brabant,2017,6154,3,F
Vlaams_Brabant,2017,6513,3,M
Vlaams_Brabant,2017,12667,3,T
West_Vlaanderen,2017,5626,3,F
West_Vlaanderen,2017,5936,3,M
West_Vlaanderen,2017,11562,3,T
Brabant_Wallon,2017,2172,3,F
Brabant_Wallon,2017,2165,3,M
Brabant_Wallon,2017,4337,3,T
Hainaut,2017,7318,3,F
Hainaut,2017,7829,3,M
Hainaut,2017,15147,3,T
Liege,2017,5952,3,F
Liege,2017,6459,3,M
Liege,2017,12411,3,T
Luxembourg,2017,1609,3,F
Luxembourg,2017,1736,3,M
Luxembourg,2017,3345,3,T
Namur,2017,2794,3,F
Namur,2017,2699,3,M
Namur,2017,5493,3,T
Bruxelles,2017,8510,4,F
Bruxelles,2017,8764,4,M
Bruxelles,2017,17274,4,T
Antwerpen,2017,10589,4,F
Antwerpen,2017,11067,4,M
Antwerpen,2017,21656,4,T
Limburg,2017,4472,4,F
Limburg,2017,4728,4,M
Limburg,2017,9200,4,T
Oost_Vlaanderen,2017,8107,4,F
Oost_Vlaanderen,2017,8379,4,M
Oost_Vlaanderen,2017,16486,4,T
Vlaams_Brabant,2017,6221,4,F
Vlaams_Brabant,2017,6523,4,M
Vlaams_Brabant,2017,12744,4,T
West_Vlaanderen,2017,5744,4,F
West_Vlaanderen,2017,6052,4,M
West_Vlaanderen,2017,11796,4,T
Brabant_Wallon,2017,2122,4,F
Brabant_Wallon,2017,2271,4,M
